,od,birdorder,birdloc,avgCorr,quant025,quant50,quant975,pval,birdloc_lab
224,NChina-CA,Ciconiifor,ori,-0.315212239,-0.716669705,-0.391572689,0.595926153,0.326308244,origin
443,SEA-JapanKorea,Gruifor,dest,-0.262824363,-0.421679183,-0.416479189,0.289273425,0.329802867,destination
50,CA-JapanKorea,Passerifor,ori,-0.010095024,-0.236994971,-0.018989955,0.305778675,0.332419355,origin
223,NChina-CA,Ciconiifor,dest,0.339212475,-0.786108303,0.429637182,0.836763548,0.341684588,destination
423,SChina-SEA,Falconifor,dest,0.467657925,-0.48468545,0.627877218,0.863741696,0.345698925,destination
221,NChina-CA,Charadriifor,dest,0.334069941,-0.579129211,0.446027132,0.842355417,0.346344086,destination
7,Africa-Europe,Ciconiifor,dest,-0.104164077,-0.369194274,-0.171576057,0.565075285,0.347168459,destination
90,Europe-Africa,Sulifor,ori,0.432267466,-0.260066481,0.52395973,0.888310884,0.347616487,origin
350,Russia-SChina,Ciconiifor,ori,0.120165309,-0.073030581,0.070112171,0.641026276,0.348709677,origin
84,Europe-Africa,Gruifor,ori,-0.220924514,-0.553768479,-0.265860882,0.372520386,0.35453405,origin
419,SChina-SEA,Charadriifor,dest,0.287982613,-0.196606883,0.26989949,0.835024679,0.356057348,destination
46,CA-JapanKorea,Falconifor,ori,0.239385567,-0.267591486,0.355386136,0.389319876,0.360089606,origin
232,NChina-CA,Pelecanifor,ori,-0.250895288,-0.629404501,-0.316975943,0.590877534,0.360609319,origin
274,Russia-Africa,Anserifor,ori,-0.162750173,-0.494691944,-0.18457106,0.451746861,0.36234767,origin
75,Europe-Africa,Anserifor,dest,0.291630983,-0.39863746,0.333714467,0.832426405,0.367383513,destination
252,NChina-JapanKorea,Sulifor,ori,0.035588754,-0.451121636,0.05821747,0.292520828,0.368673835,origin
47,CA-JapanKorea,Gruifor,dest,-0.014240863,-0.202619522,-0.017396068,0.148213511,0.371200717,destination
398,SChina-NChina,Accipitrifor,ori,0.115625484,-0.173470288,0.109707039,0.413422253,0.371684588,origin
555,WA-Africa,Pelecanifor,dest,-0.105878403,-0.387290646,-0.18640748,0.537239463,0.372060932,destination
431,SChina-SEA,Sulifor,dest,0.482243371,-0.571432897,0.68367215,0.939649001,0.376917563,destination
92,Europe-JapanKorea,Accipitrifor,ori,0.283995983,-0.467876622,0.418356168,0.597606577,0.389910394,origin
541,WA-Africa,Accipitrifor,dest,-0.143900728,-0.615934562,-0.268408461,0.756636743,0.398243728,destination
446,SEA-JapanKorea,Passerifor,ori,-0.324169489,-0.538295749,-0.531592788,0.432308544,0.398960573,origin
103,Europe-JapanKorea,Passerifor,dest,0.22942389,-0.417975414,0.227521201,0.766244456,0.403136201,destination
130,Europe-WA,Anserifor,ori,0.310946119,-0.485726976,0.432712412,0.677886527,0.407007168,origin
95,Europe-JapanKorea,Charadriifor,dest,0.147880627,-0.21922336,0.134698391,0.537341418,0.407939068,destination
551,WA-Africa,Gruifor,dest,-0.17395485,-0.325773987,-0.286302005,0.323223133,0.408996416,destination
344,Russia-SChina,Accipitrifor,ori,0.128455237,-0.127476917,0.101338963,0.590239756,0.410645161,origin
556,WA-Africa,Pelecanifor,ori,0.062141342,-0.023677353,0.022532576,0.287004464,0.411039427,origin
264,NChina-SChina,Gruifor,ori,0.047390577,-0.6954571,0.148045376,0.247279729,0.411272401,origin
262,NChina-SChina,Falconifor,ori,0.015422476,-0.670596066,0.100652711,0.204435626,0.413924731,origin
89,Europe-Africa,Sulifor,dest,0.453813116,-0.280050934,0.556850691,0.976327558,0.418207885,destination
510,USAandCanada-JapanKorea,Charadriifor,ori,0.144170116,-0.130269757,0.215442622,0.245799229,0.418763441,origin
321,Russia-Europe,Pelecanifor,dest,0.109989112,-0.567231405,0.154062988,0.716871674,0.420143369,destination
486,SEA-SChina,Sulifor,ori,-0.169308802,-0.329235337,-0.294637764,0.421817016,0.422849462,origin
108,Europe-JapanKorea,Sulifor,ori,-0.22846821,-0.720891606,-0.300629564,0.634520429,0.42453405,origin
74,Europe-Africa,Accipitrifor,ori,-0.300330428,-0.680168531,-0.345475688,0.180373989,0.424964158,origin
25,Africa-Russia,Ciconiifor,dest,0.043047114,-0.062184699,0.037606642,0.206654328,0.428422939,destination
91,Europe-JapanKorea,Accipitrifor,dest,0.18838425,-0.407740228,0.197722773,0.690594812,0.431756272,destination
416,SChina-SEA,Accipitrifor,ori,-0.187226191,-0.551742088,-0.21591304,0.258844544,0.433100358,origin
200,JapanKorea-USAandCanada,Accipitrifor,ori,-0.300511969,-0.741874904,-0.457847779,0.440917799,0.435053763,origin
243,NChina-JapanKorea,Falconifor,dest,0.060507013,-0.691467513,0.085124191,0.642421346,0.435519713,destination
58,CA-Mongolia,Anserifor,ori,0.380121213,-0.500214063,0.505135218,0.816637146,0.438100358,origin
54,CA-JapanKorea,Sulifor,ori,0.26209451,-0.40874352,0.432863428,0.445292612,0.439408602,origin
203,JapanKorea-USAandCanada,Charadriifor,dest,-0.186045767,-0.456865757,-0.257288984,0.179728362,0.439982079,destination
412,SChina-NChina,Pelecanifor,ori,0.198808745,-0.105491336,0.154959904,0.67653613,0.442114695,origin
229,NChina-CA,Passerifor,dest,0.284987909,-0.568402265,0.435151236,0.673698026,0.442204301,destination
139,Europe-WA,Passerifor,dest,0.147521503,-0.358801043,0.217020214,0.408480806,0.449641577,destination
190,JapanKorea-SChina,Falconifor,ori,0.103599343,-0.302137495,0.108502427,0.499446671,0.451129032,origin
143,Europe-WA,Sulifor,dest,-0.176849119,-0.655559747,-0.194598651,0.54640153,0.453870968,destination
228,NChina-CA,Gruifor,ori,0.243198703,-0.53704874,0.397999374,0.597794805,0.457078853,origin
468,SEA-Russia,Sulifor,ori,-0.271167872,-0.505262034,-0.489164973,0.562674571,0.457365591,origin
346,Russia-SChina,Anserifor,ori,0.10600411,-0.09815556,0.107454548,0.311517606,0.46344086,origin
432,SChina-SEA,Sulifor,ori,0.318095356,-0.186017079,0.394026124,0.750053139,0.463799283,origin
101,Europe-JapanKorea,Gruifor,dest,0.092144211,-0.171636463,0.082943078,0.38597394,0.463942652,destination
11,Africa-Europe,Gruifor,dest,-0.118495835,-0.409727053,-0.263962211,0.675072409,0.468942652,destination
184,JapanKorea-SChina,Anserifor,ori,-0.088965108,-0.29648206,-0.086404555,0.103384132,0.46921147,origin
82,Europe-Africa,Falconifor,ori,0.279348708,-0.238276743,0.329872575,0.692014973,0.470770609,origin
269,NChina-SChina,Sulifor,dest,-0.131147638,-0.341267936,-0.19146837,0.176917802,0.470913978,destination
261,NChina-SChina,Falconifor,dest,-0.263904142,-0.559285796,-0.484859296,0.617615592,0.473888889,destination
492,USAandCanada-Europe,Charadriifor,ori,-0.094358929,-0.405875135,-0.112355735,0.08923139,0.475824373,origin
213,JapanKorea-USAandCanada,Pelecanifor,dest,-0.241836964,-0.541021024,-0.427060509,0.474041125,0.477258065,destination
440,SEA-JapanKorea,Ciconiifor,ori,-0.214051162,-0.434497415,-0.425253828,0.62837756,0.477508961,origin
402,SChina-NChina,Charadriifor,ori,0.232067254,-0.413447285,0.37831887,0.567399017,0.477580645,origin
144,Europe-WA,Sulifor,ori,-0.140897277,-0.517439136,-0.217103901,0.654521318,0.481236559,origin
206,JapanKorea-USAandCanada,Ciconiifor,ori,-0.125220991,-0.465112598,-0.207485206,0.30470276,0.483476703,origin
381,SChina-JapanKorea,Anserifor,dest,-0.230006037,-0.477464974,-0.288819656,0.07799094,0.483870968,destination
141,Europe-WA,Pelecanifor,dest,0.089028301,-0.140916998,0.11413343,0.258853694,0.48437276,destination
339,Russia-NChina,Pelecanifor,dest,0.191626897,-0.030388129,0.153232426,0.678921643,0.488620072,destination
62,CA-Mongolia,Ciconiifor,ori,0.227539557,-0.768944887,0.380879918,0.730662472,0.493673835,origin
403,SChina-NChina,Ciconiifor,dest,-0.127986726,-0.517951588,-0.202189428,0.556713816,0.496272401,destination
148,JapanKorea-NChina,Anserifor,ori,-0.06641444,-0.292349714,-0.064715107,0.014371372,0.497168459,origin
310,Russia-Europe,Anserifor,ori,0.054851262,-0.498729793,0.08884653,0.579890856,0.498333333,origin
231,NChina-CA,Pelecanifor,dest,0.106479514,-0.420734463,0.197385708,0.351785085,0.499157706,destination
354,Russia-SChina,Gruifor,ori,0.082388526,-0.107090256,0.066957566,0.397817195,0.500860215,origin
485,SEA-SChina,Sulifor,dest,-0.089934809,-0.181935304,-0.174362415,0.240916533,0.501003584,destination
119,Europe-USAandCanada,Gruifor,dest,0.050041243,-0.513830499,0.191764063,0.481340635,0.504784946,destination
98,Europe-JapanKorea,Ciconiifor,ori,-0.075391852,-0.352682397,-0.061995115,0.141377285,0.505304659,origin
530,USAandCanada-LA,Ciconiifor,ori,0.015457914,-0.38446067,0.079468685,0.627645914,0.505768558,origin
438,SEA-JapanKorea,Charadriifor,ori,-0.168640602,-0.379185636,-0.370430609,0.613881216,0.507114695,origin
