,dest_location,bird_order,correlation_coefficient,p_value
67,SChina,Falconiformes,-0.3896819659666513,0.21050801541376854
68,SChina,Gruiformes,-0.295885048212236,0.3504205210845922
69,SChina,Passeriformes,0.5596238988220007,0.05848901604842619
70,SChina,Pelecaniformes,0.591281085137318,0.042881766342748984
71,SChina,Suliformes,-0.34734463412188227,0.2686192102917868
72,SEA,Accipitriformes,0.32693786606925,0.2996113992665134
73,SEA,Anseriformes,-0.10093667905289566,0.7549446714353688
74,SEA,Charadriiformes,0.21363968179362533,0.5049553355350263
75,SEA,Ciconiiformes,0.3268045910715018,0.2998201158664219
76,SEA,Falconiformes,0.922756700210829,1.900234797533248e-05
77,SEA,Gruiformes,-0.36232017986487025,0.24710572951588686
78,SEA,Passeriformes,0.49521804233283007,0.10162574612560443
79,SEA,Pelecaniformes,0.24582154639427542,0.44121462258189426
80,SEA,Suliformes,0.7523574256733669,0.0047554270140113325
81,USAandCanada,Accipitriformes,0.9339725725846477,8.840366609410522e-06
82,USAandCanada,Anseriformes,0.7410507966915475,0.005822263886783451
83,USAandCanada,Charadriiformes,0.10559901024647331,0.743952701168902
84,USAandCanada,Ciconiiformes,0.5449402397958977,0.06692059150112767
85,USAandCanada,Falconiformes,-0.9260790087505766,1.5339734974334428e-05
86,USAandCanada,Gruiformes,-0.41826676130662754,0.17601301325681692
87,USAandCanada,Passeriformes,0.6973718225768603,0.011701235858983462
88,USAandCanada,Pelecaniformes,0.4735620373901412,0.1199164610831694
89,USAandCanada,Suliformes,-0.5800912278913644,0.048012396231773974
