,origin_location,bird_order,correlation_coefficient,p_value
35,JapanKorea,Suliformes,-0.6914982727652159,0.012740101443850798
36,NChina,Accipitriformes,0.03090201385414705,0.9240488198128627
37,NChina,Anseriformes,0.4492838211291158,0.14285047054902106
38,NChina,Charadriiformes,0.08618033418368395,0.7900018102761149
39,NChina,Ciconiiformes,0.038487519878410564,0.9054714376598102
40,NChina,Falconiformes,-0.026048801881626015,0.9359534878191083
41,NChina,Gruiformes,0.5873730082035946,0.04462722118975577
42,NChina,Passeriformes,0.06194696978687374,0.8483296988905349
43,NChina,Pelecaniformes,-0.04541443231122515,0.8885446918967649
44,NChina,Suliformes,-0.09531338658751251,0.7682577777755656
45,Qinghai,Accipitriformes,-0.7335041463763851,0.0066284435172386255
46,Qinghai,Anseriformes,-0.7387701437500193,0.0060576437378603975
47,Qinghai,Charadriiformes,-0.7802511848840794,0.002753153309591863
48,Qinghai,Ciconiiformes,0.3579760037579609,0.25323869243453595
49,Qinghai,Falconiformes,-0.7263659899518025,0.007465531034966229
50,Qinghai,Gruiformes,-0.2964766120733907,0.3494121765742162
51,Qinghai,Passeriformes,-0.6698636193400975,0.017162096978501434
52,Qinghai,Pelecaniformes,-0.46893738270443086,0.12408449041659239
53,Qinghai,Suliformes,0.471664677259782,0.12161518298945762
54,Russia,Accipitriformes,0.13744078109215668,0.6701422471918811
55,Russia,Anseriformes,0.155436834688123,0.6295373502514781
56,Russia,Charadriiformes,0.05747313474631631,0.8591832809606362
57,Russia,Ciconiiformes,-0.044668105947256925,0.8903664951256194
58,Russia,Falconiformes,-0.07255731178745818,0.8226884470690702
59,Russia,Gruiformes,0.14737490223145605,0.6476193024220824
60,Russia,Passeriformes,0.11690497669879907,0.7174825927685086
61,Russia,Pelecaniformes,0.01977858356898609,0.951351520850533
62,Russia,Suliformes,-0.07483150376291611,0.8172124035973203
63,SChina,Accipitriformes,-0.1181231705769017,0.7146468949142978
64,SChina,Anseriformes,0.3281187328547496,0.29776565031296076
65,SChina,Charadriiformes,0.30655489505140754,0.33247251062371863
66,SChina,Ciconiiformes,0.6026413655261752,0.03808308587740517
67,SChina,Falconiformes,-0.5793493867612003,0.04836711663154527
68,SChina,Gruiformes,0.7529546892081521,0.004703516024438993
69,SChina,Passeriformes,0.3679612943336275,0.2392735138772605
70,SChina,Pelecaniformes,0.07727144639080698,0.8113455850452064
71,SChina,Suliformes,0.5873680862377818,0.044629450617208
72,SEA,Accipitriformes,0.30354974819323244,0.3374761483502637
73,SEA,Anseriformes,-0.19627242253512517,0.5409507897579977
74,SEA,Charadriiformes,-0.235811664080401,0.4606117328288721
75,SEA,Ciconiiformes,-0.18091747614684794,0.5736402446294608
76,SEA,Falconiformes,-0.40280422557813356,0.19419984357370915
77,SEA,Gruiformes,0.10982188224993135,0.7340344679959528
78,SEA,Passeriformes,-0.17369707411561897,0.5892776835902338
79,SEA,Pelecaniformes,-0.018942615848009686,0.9534057018993461
80,SEA,Suliformes,-0.7785277310590759,0.002853869296039614
81,USAandCanada,Accipitriformes,0.1658071841804218,0.6065507865364982
82,USAandCanada,Anseriformes,0.4338252575783462,0.15882899097600653
83,USAandCanada,Charadriiformes,0.28438349817619574,0.37033147481505024
84,USAandCanada,Ciconiiformes,-0.24096846157978702,0.4505693147613594
85,USAandCanada,Falconiformes,-0.016856431034057047,0.9585330885233053
86,USAandCanada,Gruiformes,-0.27169681616020597,0.3929605209427022
87,USAandCanada,Passeriformes,0.4911110572101556,0.10494106514753167
88,USAandCanada,Pelecaniformes,-0.009424475595021378,0.9768097010687675
89,USAandCanada,Suliformes,0.0707620530570805,0.8270164106174488
