# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Sep 29 22:52:04 CST 2019 [seed=1569768696745]
# -working -beagle 2.3.4.4fCS_empT/2.3.4.4fCS_empT.xml
state	joint	prior	likelihood	age(root)	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	location.traitLikelihood
100000	-10571.869505058434	8.200856293004353	-10580.070361351438	2008.400372591081	5.58736818825911E-5	-3.660281759019193E-7	-3.660281759019193E-7	8.53677317044294E-6	0.01675961358384363	17902.542482662047	767.6009234523688	767.6009234523688	117173.1922114467	3432.7861307390185	-10580.070361351438
110000	-10323.333550381629	8.191664335409968	-10331.52521471704	2007.9183303983577	5.827304151638333E-5	-1.0808469067986466E-7	-1.0808469067986466E-7	8.334985853865526E-6	0.004904309924322748	17161.006647528502	222.53692181049075	222.53692181049075	119979.09419013307	3421.708029704279	-10331.52521471704
120000	-10421.494280516677	8.224239060281796	-10429.71851957696	2008.3025620471617	6.472828344773303E-5	1.1922000431579556E-6	1.1922000431579556E-6	7.052224045257038E-6	-0.05580062170350254	15497.451522268517	-2619.891576773273	-2619.8915767732733	142242.1392759845	3557.1288006124746	-10429.71851957696
130000	-10270.681127688531	8.282949195353904	-10278.964076883885	2006.7907880567957	6.43109032983417E-5	2.1664341761461776E-6	2.1664341761461776E-6	6.3649513824897435E-6	-0.10707933070957627	15729.820681310892	-5353.948374592754	-5353.9483745927555	158932.7107067923	3442.100841936692	-10278.964076883885
140000	-10414.989900665107	8.285919570296265	-10423.275820235403	2008.063451199273	6.87876268018028E-5	2.7091707028016086E-7	2.7091707028016086E-7	5.848688272891791E-6	-0.013506784473710473	14540.150794801972	-673.5142772127673	-673.5142772127673	171009.7067663088	3733.0579513538914	-10423.275820235403
150000	-10366.98945748393	8.30809761715086	-10375.297555101082	2007.6083426432922	6.332245016087035E-5	1.7201918115319667E-6	1.7201918115319667E-6	6.123467868932919E-6	-0.08735731937325443	15913.629104474623	-4470.423469706935	-4470.423469706935	164561.97818218832	3577.1355618604384	-10375.297555101082
160000	-10199.657018546592	8.140666240882023	-10207.797684787474	2008.9017523607952	6.63661276041878E-5	1.1078214921215078E-6	1.1078214921215078E-6	8.12266326413191E-6	-0.04771416442363772	15102.310057741526	-2059.7509854345685	-2059.7509854345685	123393.25216594453	3374.7033150292204	-10207.797684787474
170000	-10251.238723166927	8.201717011693024	-10259.44044017862	2009.2390561001964	7.216119375703455E-5	2.958832953179622E-6	2.958832953179622E-6	6.717940703375313E-6	-0.13438491138151162	14112.729959375862	-6215.775385178143	-6215.775385178143	151592.79993756936	3674.4164918481347	-10259.44044017862
180000	-10680.889686937939	8.160208785250614	-10689.049895723188	2007.7055863991588	7.004068925172563E-5	1.4539950954132977E-6	1.4539950954132977E-6	7.414817118145837E-6	-0.06380247323651642	14335.772607347117	-2811.1472916887446	-2811.147291688744	135416.33979310925	3551.076181852062	-10689.049895723188
190000	-10348.979158112108	8.253244085741283	-10357.23240219785	2008.784347182538	6.524553733917706E-5	1.3596554801530141E-6	1.3596554801530141E-6	6.609783009269817E-6	-0.06547264259478193	15392.702129643989	-3166.332658058835	-3166.3326580588346	151942.22263303358	3531.3319721857442	-10357.23240219785
