Location,Sequence name
Africa,EPI_ISL_14934383|A/chicken/South_Africa/10766/2021__H5N1_|2021-08-16
Africa,EPI_ISL_14934479|A/chicken/South_Africa/424469/2021__H5N1_|2021-08-18
Africa,EPI_ISL_14934607|A/chicken/South_Africa/MAB/2021__H5N1_|2021-08-27
Africa,EPI_ISL_14934883|A/chicken/South_Africa/412380/2021__H5N1_|2021-09-07
Africa,EPI_ISL_14934884|A/chicken/South_Africa/412381/2021__H5N1_|2021-09-08
Africa,EPI_ISL_14934885|A/Cape_cormorant/South_Africa/21090179C/2021__H5N1_|2021-09-13
Africa,EPI_ISL_14937233|A/Turkey/Egypt/Giza/2021|2021-03-03
Africa,EPI_ISL_14973297|A/Cape_cormorant/South_Africa/21090779D/2021__H5N1_|2021-09-13
Africa,EPI_ISL_14973339|A/Cape_cormorant/South_Africa/21090250/2021__H5N1_|2021-09-14
Africa,EPI_ISL_14973559|A/Cape_gannet/South_Africa/21100108/2021__H5N1_|2021-10-07
Africa,EPI_ISL_14973759|A/Cape_cormorant/South_Africa/21100109B/2021__H5N1_|2021-10-07
Africa,EPI_ISL_14973864|A/Cape_cormorant/South_Africa/21100109A/2021__H5N1_|2021-10-07
Africa,EPI_ISL_15350905|A/chicken/Ghana/AVL-763_21VIR7050-39/2021|2021-06-08
Africa,EPI_ISL_15614803|A/ibis/Egypt/RLQP-229S/2022|2022-06-17
Africa,EPI_ISL_15837660|A/chicken/South_Africa/21100111/2021|2021-10-10
Africa,EPI_ISL_15837851|A/Cape_cormorant/South_Africa/21100176B/2021|2021-10-11
Africa,EPI_ISL_15838197|A/White_breasted_cormorant/South_Africa/21100215/2021|2021-10-13
Africa,EPI_ISL_15838583|A/Northern_giant_petrel/South_Africa/21100283/2021|2021-10-16
Africa,EPI_ISL_15838771|A/chicken/South_Africa/236744/2021|2021-10-19
Africa,EPI_ISL_15839837|A/African_penguin/South_Africa/21100423A/2021|2021-10-26
Africa,EPI_ISL_15839838|A/African_penguin/South_Africa/21100423B/2021|2021-10-26
Africa,EPI_ISL_15852179|A/chicken/South_Africa/UP928/2021|2021-10-27
Africa,EPI_ISL_15852181|A/chicken/South_Africa/21100506/2021|2021-10-28
Africa,EPI_ISL_15852186|A/seabird/South_Africa/21110253/2021|2021-11-11
Africa,EPI_ISL_15852237|A/African_penguin/South_Africa/669895_AP639/2021|2021-11-18
Africa,EPI_ISL_15852340|A/cormorant/South_Africa/21120147/2021|2021-12-06
Africa,EPI_ISL_15852552|A/Kelp_gull/South_Africa/22010082/2022|2022-01-07
Africa,EPI_ISL_15852625|A/chicken/South_Africa/JB2201/2022|2022-01-24
Africa,EPI_ISL_15852626|A/chicken/South_Africa/DW2201/2022|2022-01-24
Africa,EPI_ISL_15852757|A/chicken/South_Africa/22010387/2022|2022-01-28
Africa,EPI_ISL_15852844|A/chicken/South_Africa/QF22304/2022|2022-01-28
Africa,EPI_ISL_15853010|A/European_white_stork/South_Africa/BA107/2022|2022-02-08
Africa,EPI_ISL_15853438|A/chicken/South_Africa/PRL118/2022|2022-02-22
Africa,EPI_ISL_15853608|A/Common_tern/South_Africa/681998_CT010/2022|2022-03-21
Africa,EPI_ISL_15853610|A/Swift_tern/South_Africa/681998_ST009/2022|2022-03-22
Africa,EPI_ISL_15853701|A/Cape_cormorant/South_Africa/681998_DOA059/2022|2022-03-23
Africa,EPI_ISL_15853835|A/African_black_oystercatcher/South_Africa/682489/2022|2022-03-28
Africa,EPI_ISL_15853920|A/Common_tern/South_Africa/686940_CT013/2022|2022-05-10
Africa,EPI_ISL_15853932|A/African_penguin/South_Africa/693215_P2-0348/2022|2022-07-27
Africa,EPI_ISL_15853933|A/African_penguin/South_Africa/693215_P1-0347/2022|2022-07-27
Africa,EPI_ISL_15853935|A/chicken/South_Africa/697683/2022|2022-09-18
Africa,EPI_ISL_16675872|A/ostrich/South_Africa/PRL60/2022|2022-11-21
Africa,EPI_ISL_16676447|A/Common_tern/South_Africa/22060305/2022|2022-06-17
Africa,EPI_ISL_16839065|A/Cormorant/Namibia/141/2022|2022-01-27
Africa,EPI_ISL_16920593|A/chicken/Egypt/F71/2022|2022-12-11
