,index,od,month,counts
270,269,SChina-NChina,Jul,8964
271,265,SChina-NChina,Aug,9408
272,275,SChina-NChina,Sep,11733
273,274,SChina-NChina,Oct,14229
274,273,SChina-NChina,Nov,11562
275,266,SChina-NChina,Dec,10974
276,280,SChina-SEA,Jan,16716
277,279,SChina-SEA,Feb,16470
278,283,SChina-SEA,Mar,17253
279,276,SChina-SEA,Apr,14955
280,284,SChina-SEA,May,13047
281,282,SChina-SEA,Jun,10689
282,281,SChina-SEA,Jul,9663
283,277,SChina-SEA,Aug,10038
284,287,SChina-SEA,Sep,11295
285,286,SChina-SEA,Oct,12291
286,285,SChina-SEA,Nov,14562
287,278,SChina-SEA,Dec,12051
288,292,SEA-JapanKorea,Jan,249
289,291,SEA-JapanKorea,Feb,192
290,295,SEA-JapanKorea,Mar,255
291,288,SEA-JapanKorea,Apr,381
292,296,SEA-JapanKorea,May,1173
293,294,SEA-JapanKorea,Jun,4335
294,293,SEA-JapanKorea,Jul,18933
295,289,SEA-JapanKorea,Aug,3375
296,299,SEA-JapanKorea,Sep,4302
297,298,SEA-JapanKorea,Oct,1344
298,297,SEA-JapanKorea,Nov,1119
299,290,SEA-JapanKorea,Dec,336
300,304,SEA-Russia,Jan,312
301,303,SEA-Russia,Feb,330
302,307,SEA-Russia,Mar,279
303,300,SEA-Russia,Apr,273
304,308,SEA-Russia,May,516
305,306,SEA-Russia,Jun,1752
306,305,SEA-Russia,Jul,1644
307,301,SEA-Russia,Aug,2892
308,311,SEA-Russia,Sep,7242
309,310,SEA-Russia,Oct,351
310,309,SEA-Russia,Nov,342
311,302,SEA-Russia,Dec,315
312,316,SEA-SChina,Jan,255
313,315,SEA-SChina,Feb,159
314,319,SEA-SChina,Mar,204
315,312,SEA-SChina,Apr,186
316,320,SEA-SChina,May,720
317,318,SEA-SChina,Jun,3054
318,317,SEA-SChina,Jul,4305
319,313,SEA-SChina,Aug,189
320,323,SEA-SChina,Sep,174
321,322,SEA-SChina,Oct,177
322,321,SEA-SChina,Nov,204
323,314,SEA-SChina,Dec,222
324,328,USAandCanada-Europe,Jan,30
325,327,USAandCanada-Europe,Feb,18
326,331,USAandCanada-Europe,Mar,9
327,324,USAandCanada-Europe,Apr,15
328,332,USAandCanada-Europe,May,39
329,330,USAandCanada-Europe,Jun,111
330,329,USAandCanada-Europe,Jul,237
331,325,USAandCanada-Europe,Aug,795
332,335,USAandCanada-Europe,Sep,2022
333,334,USAandCanada-Europe,Oct,2661
334,333,USAandCanada-Europe,Nov,6105
335,326,USAandCanada-Europe,Dec,27
336,340,USAandCanada-JapanKorea,Jan,36
337,339,USAandCanada-JapanKorea,Feb,93
338,343,USAandCanada-JapanKorea,Mar,39
339,336,USAandCanada-JapanKorea,Apr,45
340,344,USAandCanada-JapanKorea,May,66
341,342,USAandCanada-JapanKorea,Jun,153
342,341,USAandCanada-JapanKorea,Jul,528
343,337,USAandCanada-JapanKorea,Aug,1674
344,347,USAandCanada-JapanKorea,Sep,5220
345,346,USAandCanada-JapanKorea,Oct,4977
346,345,USAandCanada-JapanKorea,Nov,315
347,338,USAandCanada-JapanKorea,Dec,57
348,351,USAandCanada-LA,Jan,63
349,354,USAandCanada-LA,Mar,6
350,348,USAandCanada-LA,Apr,21
351,355,USAandCanada-LA,May,285
352,353,USAandCanada-LA,Jun,2907
353,352,USAandCanada-LA,Jul,11877
354,349,USAandCanada-LA,Aug,27414
355,358,USAandCanada-LA,Sep,36552
356,357,USAandCanada-LA,Oct,32745
357,356,USAandCanada-LA,Nov,15576
358,350,USAandCanada-LA,Dec,483
359,363,WA-Africa,Jan,1725
360,362,WA-Africa,Feb,1140
361,366,WA-Africa,Mar,1050
362,359,WA-Africa,Apr,927
363,367,WA-Africa,May,897
364,365,WA-Africa,Jun,732
365,364,WA-Africa,Jul,600
366,360,WA-Africa,Aug,747
367,370,WA-Africa,Sep,915
368,369,WA-Africa,Oct,1950
369,368,WA-Africa,Nov,10080
370,361,WA-Africa,Dec,4749
