,index,od,month,counts
192,196,SChina-SEA,Jan,16260
193,195,SChina-SEA,Feb,14832
194,199,SChina-SEA,Mar,16278
195,192,SChina-SEA,Apr,15219
196,200,SChina-SEA,May,15282
197,198,SChina-SEA,Jun,15078
198,197,SChina-SEA,Jul,15807
199,193,SChina-SEA,Aug,15717
200,203,SChina-SEA,Sep,14532
201,202,SChina-SEA,Oct,15144
202,201,SChina-SEA,Nov,15147
203,194,SChina-SEA,Dec,15351
204,208,SChina-WA,Jan,396
205,207,SChina-WA,Feb,291
206,211,SChina-WA,Mar,360
207,204,SChina-WA,Apr,438
208,212,SChina-WA,May,459
209,210,SChina-WA,Jun,390
210,209,SChina-WA,Jul,498
211,205,SChina-WA,Aug,483
212,215,SChina-WA,Sep,432
213,214,SChina-WA,Oct,351
214,213,SChina-WA,Nov,396
215,206,SChina-WA,Dec,414
216,220,SEA-Europe,Jan,978
217,219,SEA-Europe,Feb,936
218,223,SEA-Europe,Mar,1158
219,216,SEA-Europe,Apr,1272
220,224,SEA-Europe,May,1299
221,222,SEA-Europe,Jun,1182
222,221,SEA-Europe,Jul,1263
223,217,SEA-Europe,Aug,1044
224,227,SEA-Europe,Sep,831
225,226,SEA-Europe,Oct,849
226,225,SEA-Europe,Nov,864
227,218,SEA-Europe,Dec,1008
228,232,WA-Africa,Jan,1848
229,231,WA-Africa,Feb,1629
230,235,WA-Africa,Mar,1611
231,228,WA-Africa,Apr,1527
232,236,WA-Africa,May,1494
233,234,WA-Africa,Jun,1326
234,233,WA-Africa,Jul,1431
235,229,WA-Africa,Aug,1395
236,239,WA-Africa,Sep,1467
237,238,WA-Africa,Oct,1803
238,237,WA-Africa,Nov,1878
239,230,WA-Africa,Dec,1767
240,244,WA-CA,Jan,4896
241,243,WA-CA,Feb,4071
242,247,WA-CA,Mar,4590
243,240,WA-CA,Apr,4395
244,248,WA-CA,May,4215
245,246,WA-CA,Jun,3669
246,245,WA-CA,Jul,3708
247,241,WA-CA,Aug,3270
248,251,WA-CA,Sep,3012
249,250,WA-CA,Oct,3048
250,249,WA-CA,Nov,3009
251,242,WA-CA,Dec,4353
252,256,WA-Europe,Jan,1320
253,255,WA-Europe,Feb,1380
254,259,WA-Europe,Mar,1581
255,252,WA-Europe,Apr,1494
256,260,WA-Europe,May,1524
257,258,WA-Europe,Jun,1392
258,257,WA-Europe,Jul,1218
259,253,WA-Europe,Aug,936
260,263,WA-Europe,Sep,909
261,262,WA-Europe,Oct,972
262,261,WA-Europe,Nov,1236
263,254,WA-Europe,Dec,1362
