Netweight (kg)	Trade Value (US$)
293	2301
6489	91951
92	84
2	37
15	293
25	407
	2417531
23131	94020
8308	15120
	2308391
5329	106058
13	166
4978	103441
338	2451
8846	122258
100	1893
35	604
3535	1230
4901	111509
275	7022
444462	5655087
381847	2625133
62615	3029954
168190	8496064
10150	969059
58941	2633737
22952	952863
449	51254
35909	1528256
8	494
38602	2207199
1179	153202
146521	3439335
95323	747035
51198	2692300
180898	9338418
16	814
21193	1776616
56235	2773950
31070	1123496
40385	1648319
30876	1839796
1123	175426
112972	3007042
70651	817808
5345	28518
36976	2160716
234778	11227783
44981	3396324
30448	1517841
39305	1587268
3	354
85917	2856591
59	2813
34066	1866592
98937	2545100
65126	676566
33811	1868534
	59357
1401	43152
	16205
119404	5987936
890	114464
34532	1449674
8202	375360
143	17368
1245	158387
1981	234334
31422	1326177
39787	2122648
1202	189524
329386	4701773
267149	1815874
62237	2885899
150022	7004228
6997	558075
51608	2111278
23809	966214
50	1175
842	108969
4177	238815
30	1055
38095	1473579
21	2305
23026	1338600
1367	204163
3304	207328
3304	207328
14655	378463
12670	351233
1985	27229
19914	533853
146	6664
17872	485613
1896	41577
19587	589240
13618	515665
5969	73575
5770	230426
55	167
161	9432
62	8840
5492	211986
18984	503619
18984	503619
17076	570938
108	13979
195	11385
251	4268
16022	528300
500	13005
45093	872900
24205	618417
20888	254482
21452	321281
2973	32293
12900	182098
2447	32745
812	10642
1490	9911
830	53590
10701	252217
1442	27064
9259	225153
14825	336383
147	6286
13429	287972
644	679
605	41446
17770	101459
17710	101104
20	228
40	127
3534	1788472
3354	1644065
180	144407
22000	65145
22000	65145
	940414
	940414
4538	1945643
592	127910
3946	1817733
	810723
	810723
4708	1840106
897	185576
3811	1654530
622895	1823160
622895	1823160
5416	1730861
1127	5160
440	76908
3849	1648793
18547	77431
18520	77183
25	223
2	25
20633	799738
20633	799738
21611	1681388
5400	40677
11925	105786
4286	1534925
19507	965183
19507	965183
144095	10108380
1108	17779
864	15679
869	66369
1184	30316
288	4852
780	51150
62573	3778505
75483	6068487
917	74903
28	340
84542	3172618
1200	22367
920	17148
2360	44182
16645	643141
1440	26841
59613	2363175
1088	33646
1276	22118
38914	2286501
1920	34583
4156	401671
221	36656
11788	858294
19881	936214
948	19083
39594	1812818
600	74945
1088	32843
700	101703
7605	369134
29601	1234193
173311	2076572
27984	35661
3600	56126
18206	511944
86337	1183545
888	59082
265	15271
840	2826
34119	201455
800	9487
272	1176
	33076485
	8598870
	1780165
	2745
2229	119410
	2318195
	20588
	642342
	3553468
26	1373
	454306
	166076
	13999757
	1419191
	32323952
	10351268
	807473
60	2947
6774	331535
	1594316
1467	66307
	422892
	4022628
	131141
	353638
	190080
	13295301
	754427
	31141587
	10123757
	2776
	6940
5407	301187
	1388
9319	519096
	5378333
	74950
	655116
	4052834
	15268
50	2776
	144348
	235953
	9615765
	11104
	33404659
	10644902
1049	71576
	2651
	665389
	7113832
	50368
	344624
	4641819
	27835
78	5302
	165685
2544	173637
	247864
	9242548
	6627
970295	26035039
504632	7054923
2021	126810
840	52733
13151	582574
102449	1954888
1391	936639
4159	208421
32369	1854444
2081	130577
300	18833
10970	1471502
37255	170754
248528	11047565
10149	424375
12137	631598
125	8758
1512	95940
3754	149169
6746	377729
113674	1181528
37810	502902
356	40019
842	82427
74666	556180
13706	696330
2724	133453
6357	315327
4625	247549
79293	1384844
26000	432866
1520	143830
1332	130823
50441	677325
7950	419004
637	48336
1751	71820
5562	298848
12191	426381
11345	401417
125	72
721	24892
43587	1178958
19835	344858
59	4662
961	86098
4792	175114
17940	568227
22	615
2	104
19	510
9819	406145
1037	41168
2162	80539
6620	284438
11847	448285
11642	441381
205	6904
532318	2437115
24046	497142
1012	78471
28218	74117
189	19585
478853	1767800
	3226
	3226
10961	577516
1574	105810
2056	86116
7331	385590
9518	419343
9518	419343
584379	3368950
22390	55974
26350	628662
721	76478
42	11915
534876	2595921
11	550
7	345
4	205
9036	369612
698	27877
8035	329941
303	11794
108	6016
108	6016
22	1500
22	1500
455	5836
200	3908
255	1928
660	19302
126	186
534	19116
381	67433
381	67433
562	19549
422	13882
140	5667
926	22135
84	3272
842	18863
70244800	142743000
852400	628000
7300	72000
21700	388000
7034500	9655000
13204300	20084000
12785900	11163000
18000	103000
2100	36000
35046600	88340000
1032900	2636000
1200	30000
209800	33000
24500	9170000
3600	405000
2703064	7855090
13440	150448
55	4874
2277841	1358317
11144	1189074
24300	1455888
3036	35140
241362	1543182
93671	479901
9	621
38092	1624577
114	13068
8	417
8	417
86341700	195506000
2175600	3549000
7300	139000
1400	263000
10488300	17710000
15133900	29449000
8694700	8901000
190100	290000
1500	284000
47433500	121864000
1990400	3753000
198200	33000
23300	8626000
3500	645000
3787810	10516320
1160	118883
1185	45789
3258189	2991549
2389	38993
14270	1072621
30417	2123070
887	34594
400493	2483708
52712	103775
26108	1503339
117319800	233833000
3474600	4798000
847300	1705000
1800	27000
2500	9000
23174700	31163000
11701200	18922000
9071300	9649000
193900	157000
1300	193000
1600	31000
55220200	138723000
20700	33000
13157200	20636000
6400	123000
15400	292000
402200	104000
25700	7041000
1800	227000
4643705	10753146
549	13764
4095578	3459442
12093	934420
38772	1733032
3924	43550
465330	2975253
1209	83727
650	2006
25600	1507953
89392725	198399192
4371625	6795210
1840000	3444637
1800	25172
19055300	25243893
5077200	7360925
5897300	4064672
423100	624009
600	102014
46918700	137851740
5065400	7192668
16400	292794
710700	197404
14600	5204052
89285	2339834
27136	787200
582	27648
2632	205326
58887	1317484
48	2177
4819077	11292122
9130	58816
4331877	3527233
424	11281
19456	1329752
13433	817926
3995	33205
397486	3236188
572	40268
3607	10891
39097	2226561
114	574
114	574
82580100	152737000
1716300	1946000
39600	137000
100	65000
18900	541000
4992900	6172000
13574200	16436000
4727400	2047000
21900	78000
16100	115000
57002200	113496000
320900	1336000
122600	26000
27000	10342000
94699	2103858
26182	531695
1334	68460
3570	61796
1020	22968
275	5402
57999	1263570
478	15130
1050	2795
400	25173
1655	89790
736	17078
163767	3956985
1442	29901
357	7115
5216	206455
27360	1503428
100361	783933
429	1617
2331	135645
26166	1277263
105	11629
58	386
58	386
147314	3778903
39091	852168
2	1
2036	46121
903	87457
3143	130392
99758	2528707
924	23352
1457	110706
130781	3665151
49821	1284670
190	16755
2442	89536
76167	2126568
1025	57360
1136	90262
73290	1620429
25683	623073
54	9258
249	17707
1018	72115
44425	806894
665	17647
1196	73734
745192	8956492
94	3648
1306	44816
625431	4566891
136	5186
1512	152826
3441	180288
241	31216
113031	3971621
748768	9325415
2249	85533
811	56807
642722	4788146
3827	321716
653	52627
501	19120
98005	4001466
596354	8301479
3093	257209
424	26212
508160	3808589
686	60292
2921	306190
809	56000
80261	3786987
850684	11046794
259	40491
64	3814
728530	5943103
121831	5059386
681442	8439142
650	71473
890	30725
569388	4263634
244	28893
2976	81701
1558	87168
105736	3875548
218	25687
218	25687
2479	65963
350	7306
298	25676
1077	28831
754	4149
926	71092
208	166
270	18647
398	52112
50	168
13258	166082
12362	157714
150	1908
746	6461
4295	61310
3797	56965
498	4345
4982	43501
2354	39285
2628	4216
16563	194199
15920	187004
54	2247
589	4947
216	4060
216	4060
1783	44576
1783	44576
2882	54188
2882	54188
4579	84504
4579	84504
5471	25169
5471	25169
223129	3995746
142625	1283280
540	54000
79964	2658466
460377	11319000
36482	1678000
529	22000
7800	1111000
8887	476000
31580	1806000
35796	1690000
1700	343000
7243	184000
1700	2000
284801	1768000
1600	4000
41459	2217000
800	18000
	9595000
	2372000
1720	52000
2400	386000
8335	252000
	1583000
	3623000
400	119000
3065	150000
	72000
1757	86000
11218	549000
	351000
200050	4184549
1959	242123
145130	1413317
423	49000
52538	2480109
394300	12533000
125900	4100000
3800	27000
42000	542000
145100	3623000
19300	2760000
400	108000
1800	35000
4100	48000
600	25000
1600	17000
47200	909000
1300	274000
1200	65000
98189	4984717
59200	3297623
2957	110324
9675	538915
2970	165433
3006	112139
20381	760283
186201	4236590
1796	205617
125740	1102808
58665	2928165
1539600	22084000
135100	3561000
4100	130000
10400	122000
107200	3183000
180000	4264000
7700	438000
53000	522000
7400	76000
945200	1553000
86100	6231000
3400	2004000
60792	2796833
24649	1318266
21583	508261
4489	306456
9440	644437
630	19413
260607	4050267
199819	1663510
855	84000
59933	2302757
139763	8006000
10900	243000
4819	127000
7100	915000
13000	327000
37900	1598000
11400	973000
4544	288000
43200	584000
6600	2939000
300	12000
	2603945
3175	199271
	127442
	981503
14997	525502
25900	770227
	2311465
11712	486729
5436	258317
3705	153955
	1130718
6780	281746
84991	3706382
10057	492204
47729	2261935
3020	147816
20271	612890
3914	191536
	48200203
	9244
	912377
29	1567
548	29335
2230	103535
150	8053
11	576
	31843149
285498	15292367
92163	6406000
	132000
2415	123000
6646	356000
18520	992000
54234	3915000
10347	888000
	37930002
	7251
65	1960
	382491
	5512
	1585
	27658218
140	357
201729	9872628
	6300000
	423000
7328	358000
31794	1556000
62444	3056000
	907000
	18814455
	607142
1005	55957
10994	612378
	9315322
	8223656
	5010000
	508000
5116	285000
2459	137000
54	3000
	3454000
	623000
5598	253266
4833	235389
765	17877
	17802061
24998	933540
323	17053
	1642622
156499	6183552
186639	9025293
	5734000
1509	103000
15443	738000
	4807000
2792	86000
908	751202
908	751202
	39251288
	19527
14546	656881
50	3152
8831	379552
10604	665431
147	9222
	27831138
154357	9686386
97318	5099000
2607	109000
6087	382000
8095	508000
829	52000
67878	3539000
11822	509000
164411	12733335
1079	42935
10500	217267
7704	339232
34856	2194037
20200	468542
17045	1358703
13707	222608
59321	7890011
75321	5845158
585	1798
867	49589
51556	302016
10704	3028841
11609	2462914
60903	9106833
12	130
924	673134
9530	45295
1173	55476
1999	418655
12262	599397
5589	1651675
29414	5663071
3704	22722
2	19
3546	22275
156	428
3654	162870
246	10288
3408	152582
	28768636
	413049
	33691
1175	191119
2040	24403
4936	264416
	12653204
	506877
	1014358
	2130402
	43453
	150064
	10787298
5280	556302
131286	6856578
6409	343282
9846	527413
43508	2159077
3386	181366
1969	105457
132	7053
21173	1129885
44863	2403045
78706	4220312
9841	527115
237	12702
24337	1303584
981	57052
8829	472935
34481	1846923
	26808588
	433320
	48216
2147	201828
	10577583
4939	464346
	281357
	40518
26661	2506483
297	8986
	1158723
2174	204352
	6973543
41583	3909333
24442	1013521
24442	1013521
196386	9286525
14327	701180
7782	380838
58646	2545541
8553	418591
1534	75080
105543	5165294
72737	3620543
653	106713
12152	639606
1957	137557
22995	1042853
3934	88945
1360	54231
29686	1550639
	21132255
	758648
	53217
110	6132
	9061795
	1360246
	130846
54724	3048306
10291	573236
	774468
2417	134657
	88396
	4969421
2641	172887
28361	1004580
28361	1004580
151114	8274919
22622	1260127
28757	1477108
450	25070
14745	803421
84540	4709194
174812	6695667
602	31122
2137	230122
36386	1797490
132594	3481273
1252	925357
1841	230303
	4331792
	1444712
23108	1287171
5428	302367
25	1408
6648	370317
16620	925816
	18695439
	179303
	188995
3421	233518
	45825
	7280710
	1683317
	238321
155	10604
41521	2834375
3822	260932
	755697
	159803
	42919
79510	31397
	3810650
5379	939074
15727	853308
15727	853308
	8544649
	634951
23884	1615166
5286	360868
428	29240
73312	4902335
14876	1002089
121427	5541172
1050	54737
930	121579
1197	208499
2048	227299
34861	1679150
76328	2040636
4942	1208558
71	714
49437	3223388
2631	525723
2883	191432
5692	324263
4992	357324
32453	1759385
786	65261
1504911	23319981
36907	290991
4704	25845
14	2279
1239579	10525315
8776	635589
20311	1075955
48363	1239338
10895	379936
35143	52582
99671	9056805
548	35346
30204	977005
30204	977005
126247	7205860
47	2924
7695	482904
34923	1588618
10535	661126
1320	82821
60475	3681370
11252	706097
78331	3494986
325	30373
3050	222933
3256	211901
910	133000
4830	54955
8666	737356
2043	146124
42551	1157595
12075	433741
625	367008
51429	3556515
10331	884532
1363	173682
1283	123856
1304	40670
400	16842
36178	2270143
570	46790
24740	791895
24740	791895
109815	5637676
8	508
3555	363507
630	8797
39370	2510727
3007	244238
54140	1312422
6784	310289
1252	771688
1069	115500
129231	6078905
4	230
6752	531307
4854	170644
439	49794
27946	1918911
87977	2628479
1260	779540
7171	426011
650	84489
1026	89641
1429	90541
205	18671
2885	104973
480	14074
46	10108
450	13516
121	5934
121	5934
	378024
	43074
1447	80619
2417	134633
1127	62804
577	32168
	13780
197	10947
2061	114790
2061	114790
	813107
274	18694
1699	115956
3534	241279
6159	420430
39	2644
67	4551
	9553
127498	2754632
4	19257
180	4469
4047	83945
4430	83906
118749	2560453
88	2601
2728	163740
609	8859
728	18801
1391	136080
2358	163468
1115	93214
100	6254
291	18262
174	10937
607	30342
71	4458
75634	1615591
500	10343
15482	493900
57552	1061932
2100	49416
3894	236420
1746	93529
1029	55117
	14077
1	34
368	19715
118	6333
522	27972
110	19643
173712	3039060
150	7997
21680	50951
3600	536
20939	1018054
101102	1476602
1550	7020
201	2717
6990	463753
17500	11429
116093	4122232
1922	176999
12446	293865
32646	1719751
54228	1147273
422	4426
4860	89176
9569	690742
45396	2422071
3389	179831
4635	327586
480	50033
896	49270
9035	641605
26316	1131074
645	42672
15573	834131
8940	478878
5891	315565
741	39689
51196	2582226
1728	108024
2954	274403
1403	126151
1640	71938
6651	488976
10910	383341
25910	1129393
71726	1394663
25887	9583
6544	538210
2160	360014
8895	105383
8400	102084
19840	279389
46212	2683978
4261	426215
1412	134479
512	37069
28015	1435548
7427	443389
4585	207278
91357	1836324
6168	527113
29389	602077
41800	542294
14000	164839
	655202
137	9354
	645847
57677	3293011
25	1658
3005	278076
8596	396303
768	44378
17135	966384
20952	1286972
7196	319239
62960	1725641
6486	497998
56426	1227553
48	90
30365	1612150
3027	237002
121	45689
8724	524980
386	36505
17524	722722
583	45252
13299	834560
5189	325603
7577	475492
533	33464
	403647
	403647
	935811
	935811
	1331041
	1331041
1039718	4662357
2760	45908
44391	532649
11466	1093271
4926	254992
3816	64262
843670	62118
1681	216628
111791	1703608
15217	688921
149270	694122
109428	519411
288	9855
12454	41175
27100	123682
14131	413952
1482	144238
12649	269714
1662919	6104074
67824	973124
16174	1295877
11445	528333
1452500	392424
3399	482168
98633	1533388
12944	898760
319547	842838
93250	117926
27714	32686
32254	169307
166329	522919
37887	725726
983	86732
35625	619308
1279	19686
5915	405465
100	43366
1510	3594
4108	271160
197	87345
1412858	5144880
15097	273023
11768	1228148
5365	200738
1099184	165314
902	159897
266672	2241734
13870	876026
274750	748859
89386	104916
124	3427
39213	79264
2355	140720
143672	420533
33936	639592
406	47750
33530	591842
23761	321655
1857	3912
21904	317744
1916085	4971116
27316	461742
11436	1098582
1542319	229885
311280	2109822
836	35086
22898	1035999
213090	780471
81000	85839
327	921
40392	43890
3110	176505
87802	459142
459	14175
67368	1365488
6835	301189
60398	1060690
135	3610
16172	641449
14746	455705
1001	147565
425	38179
345535	3964150
919	9954
2880	41776
44400	435345
99360	10403
10042	930274
89	2161
1150	149878
2720	37753
1404	23202
2079	267427
158271	1354989
22221	700988
113524	501243
92195	354672
109	11309
21218	84648
2	50615
15804	325706
530	53430
15274	272276
2957	185547
681	42718
2111	132488
165	10341
12106	373936
411	66408
1531	4429
10060	237600
104	65499
61481	398239
60470	366944
444	12796
567	18500
	4467
	3741
	726
26230	579128
7500	67281
18730	511846
41853	225906
41536	210295
317	15611
	10854907
	1276724
20478	1052991
	1088920
	13352
	3044665
5831	309378
782	43535
252	14056
208	11559
	1842862
	2149086
140	7778
	1961
	1361
	600
75203	352054
74805	338600
398	13453
	12717330
	960028
	1430643
68754	1250697
	2047750
1031	70384
128	8759
49227	1451016
80541	5498053
	13424
	11133
	261
	1677
5	353
243987	1266882
18576	61073
201018	957862
3974	13067
7344	24145
4595	182854
8480	27880
28766	98991
28500	89278
266	9713
164302	9431587
17209	1072171
883	19486
11226	655035
4327	271552
374	23488
1941	121788
34064	2140884
29708	1671779
1031	64701
244	15297
844	52981
23457	875427
38994	2446996
3742	6810
3720	6770
22	39
1400	5735
1400	5735
38750	153455
400	3830
37265	121069
412	10837
673	17719
	11459819
24228	1297723
15201	779688
22210	1189677
465	24858
785	42055
	8113
49814	2668222
11532	617698
221	11824
430	23014
281	15074
	2706
15046	752817
75208	4026348
	21139
	21139
8142	4467
8142	4467
	11725670
	830888
33682	1525591
	1018751
	2540155
13954	682898
1106	54116
10569	475346
94365	4588425
	9500
1651	57764
13	465
1638	57298
1048	39937
1048	39937
21675	799877
15903	595723
604	18251
2208	96406
2960	89497
	22247725
	22247725
2470	101165
2187	87399
119	8038
164	5728
20498	933996
16360	769336
2882	107512
170	9473
1086	47674
	19833249
	19833249
20567	895932
13900	652904
2663	82031
395	26970
3608	134028
	23136207
5090	347470
	22788737
1677	79421
1677	79421
25370	720721
14969	400011
1413	48244
5930	181195
3058	91272
	19835196
3235	135249
1767	110862
2041	128048
	19461037
17744	829277
11637	551540
1802	80574
2022	92937
1723	80944
560	23281
	22958861
	112557
	22846304
83385	136254
3000	1150
33706	47335
46679	87768
150	1368
150	1368
29217	12209
4000	985
25206	39
10	9034
1	2151
29	33033
27	31098
2	1936
1302	52654
300	974
996	46637
6	5042
251322	832862
62510	157714
188812	675148
374021	1271426
204286	688478
816	15382
27610	88782
141309	478784
401444	1296305
3850	7121
246189	799714
1982	29012
500	6511
148923	453946
233904	487252
10920	50136
2820	42612
106546	221567
121	11636
113497	161302
55	1395
55	1395
288334	13233125
2520	55248
3675	147079
196190	7727542
792	105045
80143	4630881
5014	567330
42024	1446021
15724	28616
1444	16422
	467
7996	480921
4370	274236
12475	644485
14	874
284004	862714
36252	110417
350	6473
98178	351719
363	37308
148861	356798
145	5066
145	5066
414482	20930238
1704	254599
325946	13876007
1120	199329
4481	725275
78458	5611211
2773	263817
29591	1622108
34	1826
940	50367
10622	623540
3074	164650
14718	770838
32	1738
171	9150
150	4046
150	4046
345796	21276653
1475	243471
263512	13652211
5470	1033324
430	109819
73090	5809200
1819	428628
	1700421
	305738
160	7812
632	22373
11398	522185
2896	141727
743	30541
12995	605913
1310	64131
410	11351
385	10823
25	528
275079	18518441
1613	258950
174423	10062982
14959	1057792
77440	6069654
2843	378606
3801	690457
	823450
292	16244
	216697
954	53148
7742	428148
1961	109213
349038	21692691
550	97118
243244	12334253
5278	796616
88516	6682329
5810	765732
5640	1016644
13270	895671
79	4250
8671	582876
318	21685
2523	172239
1679	114620
501413	1430283
501413	1430283
384029	1297267
384025	1296162
4	1105
629446	1965974
629446	1965974
	3736859
13871	556170
2	58
5512	205614
	930282
4826	180030
919	51188
314	11725
	774425
8673	375099
4357	242702
5219	194687
772	28785
	24
	124860
1641	61210
346	22995
330	22500
16	495
476654	1643139
500	34672
3400	90522
472504	1517712
250	233
	1529083
14688	452424
1	41
1575	48520
3188	116962
2	68
555	37865
	434385
820	25260
3222	99246
1393	56354
476	18324
1455	32979
3674	113177
509	20245
	63697
310	9536
402342	706030
5	22
398137	703279
4200	2729
1146839	329846045
46277	21504687
7354	636851
	8235
11223	1205075
21468	1253113
660320	283592027
44612	2389562
67109	3594637
	111174
33363	1787025
223493	11971144
31620	1792515
	403067880
783	38311
	23421072
	1354134
	12471592
	2621333
	340325341
42031	2056988
95954	4696002
	100197
	35364
	453834
	2820254
	22102
	12210785
	440573
176	27175
176	27175
	436559070
	23825830
	422647
	22538362
	1820310
	375534759
4958	276185
	46031
	940145
	723939
	59980
159987	8911845
	1459037
	457729674
	95455
	14967931
	958531
	20978967
	1079176
	403402315
14566	994327
25675	1752667
	433526
3554	242616
	1755318
	9777546
	1291299
369	52623
369	52623
	210814401
	618099
	17878382
3363	211058
	875640
	182393163
1024	22613
9109	571616
160	10050
681	42714
	81659
1922	120605
100579	6311643
26726	1677158
24527	163789
24476	163135
39	565
12	90
511	51324
30	1704
481	49620
7692	147998
7692	147998
575	44051
575	44051
11159	202557
39	2822
25	375
10495	185701
600	13658
790298	5110089
707504	4116068
5	345
6418	80325
45972	318084
8146	54046
22253	541221
312008	3330099
223097	2139209
24725	431301
56140	453983
8046	305607
180038	2521440
105434	1294638
29562	492570
450	1720
35640	284430
8953	448082
6814	35173
5800	4380
968	30273
46	520
9000	53904
9000	53904
382129	4061153
318867	3006954
11214	192215
40684	410060
11364	451924
686	11371
510	10293
126	1037
50	40
369	25188
369	25188
744987	4337866
712533	3813916
15326	126899
69	1920
17059	395131
120	172
120	172
181	2239
181	2239
1267	21835
1254	21264
13	571
9100	1229070
1715	129937
149	130182
122	186691
110	30257
2946	223520
4004	468297
54	60186
6156	1176901
125	283131
458	230948
3610	296161
1963	366662
1883	655910
99	243608
201	154075
406	30980
1177	227248
1456	623479
112	231306
249	159793
1095	232380
5966	847121
48	65154
136	184098
870	63144
3501	227239
1352	251408
59	56077
	1732549
1292	39074
231	6996
	1285830
	59471
105	5161
349	10567
1721	84226
6599	241224
22459	3705550
600	180789
3030	572503
2714	375326
2786	78786
13329	2498146
	3196511
	154374
22214	1015052
	150943
58	3258
3480	147683
6	209
813	45311
4041	225093
	1454588
18747	3384154
1026	378115
1476	308613
987	167144
2190	347917
13068	2182364
	5622137
3389	219660
24928	1701705
	614680
298	9171
	244730
	1507089
	1325101
16556	2591256
2400	85262
2055	355081
366	26978
1035	123427
1614	277944
508	57743
118	10541
8460	1654280
44167	1637547
23771	750609
18257	859568
879	6008
950	8146
310	13217
29021	2674947
	13785
6939	153188
2951	1432043
5225	184865
	186
3708	308271
235	5185
8	167
1543	65655
8412	511602
17170	2697964
20	9348
2496	96067
2390	427687
1419	211529
10845	1953334
5722	280915
3084	99178
2638	181737
58006	4073048
203	15991
	73252
18963	1983621
6905	418051
3737	165005
414	17203
730	30357
182	7577
26872	1361992
21251	3308338
484	15906
3595	721363
1574	253884
15598	2317185
16264	541134
15937	538227
300	1607
27	1300
2918	185475
1583	95480
235	1880
1100	88114
15191	489353
13591	467138
1600	22216
588563	4782326
5400	37255
583027	4741121
136	3951
87182	3858452
1925	144826
25517	408172
59740	3305454
717474	7351943
717474	7351943
92331	4170765
3528	251087
29625	441965
1026	8213
72	540
58080	3468960
776193	6378574
2160	9688
773902	6364890
131	3996
89942	4283831
2788	177532
25224	422728
64	986
61866	3682585
974082	10057190
974082	10057190
98252	3916478
3928	276660
30753	332697
63571	3307121
58962	383618
58962	383618
98	5259
14	773
84	4486
87004	3915954
72	4845
3581	210919
18400	269962
40	3068
64911	3427160
	13264
21	1032
	12232
	16762
	16762
262	17889
262	17889
35129991	84504815
334506	616874
983	27118
16377707	26498103
130294	1417757
241959	9728772
9741483	26751596
57259	498590
1580	372269
15493	388791
50236	4127
1244414	1522739
2414698	8258465
4491086	7789609
28293	630005
	27494657
	11672204
1030	42792
1370	73362
	63810
	195290
	15285173
196	8130
2234	153896
29263	6372224
8556	1283338
2358	444234
17067	4398159
1283	246492
29616407	85187736
11371	212726
4304	85455
2203	161568
12212746	22892508
224296	3245981
262393	8119201
6536768	26374547
282442	547177
2630	628738
62685	1679625
2095855	3250188
4474670	11854651
3443507	6000388
69	17553
468	117430
2618605	32317828
602377	12303287
2007267	19872705
8961	141835
27962	6943104
3048	605765
2562	514324
630	93163
19989	5390056
1733	339795
30479176	73242415
64718	2135385
419	512
7828268	14134587
365504	4653027
316923	7621096
4470412	16079180
1951789	3219914
680	122216
82352	1422001
57507	32220
973275	1285204
6770155	11747459
7584284	10422545
12890	367069
2212344	38425217
44394	122166
1237573	13861885
299	23679
927132	24174788
1815	176656
1131	66043
37079	8541405
12462	1784353
2653	536068
21962	6220982
41126541	83206781
77683	2673746
11767112	19632429
319855	3429830
304604	7047615
6791383	19569798
554953	813721
108517	2131915
111510	45029
1955828	1571168
8598009	13260633
10515014	11396599
3252	65648
3	131
9091	1223379
9727	345140
2746624	33941274
780	68881
1143571	9129645
509	84488
11423	156338
1588861	24369620
754	110446
726	21857
31055	5336358
9872	1013817
1192	39643
282	37202
504	76423
2900	240170
282	37202
13687	3461468
2336	430433
17709565	57151723
48341	2912801
30088	173804
515	61892
8888342	13792677
130671	1545783
97313	6619552
6109553	19215530
5556	374089
1360	292386
39543	914632
1042	23956
598058	6632805
1752480	4292321
2975	26268
3728	273227
1203192	20760610
157653	7876594
3471	217831
1127	70729
1033661	12323513
3443	77166
3836	194776
37616	6440885
2504	125192
12928	1568663
1257	219332
19366	4237224
1561	290474
100292	8120453
1120	52524
6099	593938
1614	182070
10499	991788
3756	415686
7495	912379
1807	200737
67902	4771331
70435	5965955
2246	436671
2107	182471
5762	628180
2005	279207
5760	708217
52555	3731209
96715	7858301
10584	638606
2211	248629
158	2412
3614	335228
6206	409516
8234	1167072
2079	461836
63629	4595002
67364	7191348
6359	732125
94	7396
1673	146464
6204	1086784
3579	728329
49455	4490250
106018	7352386
28	1370
19644	1347092
1199	123915
2999	342870
3832	495731
72	4075
9476	924905
1106	152272
1934	323016
65728	3637140
47331	6799039
4271	544560
21306	2241641
2476	297000
4851	676636
14427	3039202
49404	8296077
8423	1339546
20121	2839596
504	87339
535	72500
19821	3957096
62731	8357022
5847	917640
18094	2044676
1774	190112
388	51500
4000	100495
16175	2304135
16453	2748464
359340	5092174
297197	3953867
3785	51788
4287	133116
52728	841872
1337	111500
6	31
64757	9941442
2108	299913
23095	2367098
360	48500
25115	3609637
14079	3616294
204037	2855880
7676	195158
141882	1881379
1552	32438
124	20126
52309	682687
494	44092
51344	7165459
1189	154440
6187	573780
5355	686819
25367	4119025
13246	1631395
53732	681525
532	81960
52744	566742
456	32823
50631	339947
11131	145962
39500	193985
172704	2244765
139321	1762889
562	47927
9991	167617
1230	15555
21600	250777
15607	140306
4190	43787
171	1862
533	4474
10713	90182
234752	3638339
194195	3001869
40557	636470
8890	211947
3050	97376
2000	5177
3766	75572
74	33822
67816	470600
36	989
55202	265088
25	703
11517	112519
300	10489
120	44874
381	18481
209	11279
26	6179
2027731	19245420
55900	199294
10553	139817
420710	2337436
82	4423
200	15510
31104	2128569
884105	8269834
177126	1328420
4985	61046
292111	3339954
3635	262344
147220	1158775
528333	44697105
23832	1907171
5000	94329
103359	9018674
44591	1226712
14436	6118485
61974	5863409
61367	5776749
101722	9826237
71537	3708340
35223	588226
4406	493773
886	75000
2797078	25722078
391726	2012766
657428	5614164
784	62622
85302	2604518
29362	96581
1126772	10319809
284723	1980899
4988	59756
138885	1756111
4226	107134
71982	958446
900	149273
504890	58593969
14664	1312442
36062	3442147
29710	1647862
17017	11883376
61447	7208917
157515	16096097
124189	13966461
59661	2759508
1526	25093
3099	252066
2867376	30565529
2420	25380
357464	3262308
1161354	11540609
1947	32358
33583	2782531
203634	866018
800032	9441983
151626	1615658
52760	176539
9274	113238
1907	22466
91375	686442
522419	60063467
49704	4836797
25362	2237079
11121	9320712
36256	5837558
192529	19960812
121967	12723906
72999	4579395
11388	348903
1093	218305
19496	91918
84	1212
19412	90706
3234361	30670970
477290	4225540
1092975	9200747
171	17505
40759	2297610
133524	694040
1067779	10272163
253478	1647425
57067	597919
108583	1311228
2735	406793
661140	58660697
16	2440
27041	2511082
28029	2673400
14713	10054135
35633	5526776
156166	13992016
164942	15748910
90352	3916506
121515	1729637
22715	2504412
18	1383
58472	511121
11301	265249
415	1519
150	3254
46606	241099
2052430	15710336
76626	215055
334561	1976330
1269	74510
578	39201
21981	1343885
156040	464933
939160	7164971
237474	1497082
210039	2072065
2317	155807
72385	706498
658788	39972955
1350	121522
20000	288113
160355	3025266
6286	287388
40656	6499059
36783	4033288
64099	5433265
80279	6962731
83209	4755060
65023	490383
82363	6963489
18385	1113391
49220	55654
1050	22941
48170	32712
18238	106106
50	656
334	5634
208	23309
17646	76507
1392	40680
159	10683
1233	29996
1786	37641
564	7372
1222	30269
2431	22585
25	484
2406	22101
35196	502165
21301	315928
13895	186237
1396	24821
77	3783
1319	21038
6848	103394
2743	44318
