Netweight (kg)	Trade Value (US$)
0	7786991
0	2281435
0	49453
0	187391
0	28184
0	63345
0	232031
0	3160
0	30164
0	1139456
0	548251
0	11298572
0	81244
0	516255
0	123876
0	136977
0	289211
0	934443
0	9216566
57032789	87989529
57027120	87445632
125	41890
5500	501659
44	348
6437078	8356406
6437078	8356406
	2212400
2721	122337
	247398
3145	141393
25463	1144877
12446	556395
	11179483
	778670
12908	580385
569	25577
1334	60000
9157	411719
	721807
359710	8601325
	85932285
	85344842
1320	59332
11746	528111
6025678	7973802
6025678	7973802
19242	2417848
12312	711041
812	124794
593	65287
570	46044
1893	649025
3062	821657
2118435	7304037
34	524
707	42417
2750	87802
6124	277226
296	13527
7562	855737
398	24591
70	1935
3750	3793
1250	65585
6000	4551
371	41173
36889	4087645
2052041	1797107
193	424
2112814	6511804
222	26686
4250	284762
9875	494564
796	1492
1312	114283
5500	553552
35	856
3445	503947
22469	2980117
2064772	1550774
138	771
0	6744434
0	343836
0	645549
0	538
0	118179
0	549295
0	82526
0	981
0	928439
0	2879485
0	1195170
0	436
34438	4180997
417	37050
3671	152248
4812	537595
882	26787
4312	237692
7	687
2687	796659
14960	1973003
2625	418340
65	936
56702	5518943
566	14450
8854	316332
284	27143
7298	811147
11661	578085
50	1326
4538	1230652
13237	2058673
10214	481135
1253	17845
191	2636
1042	15020
20	189
197	1314
82	957
115	357
839	9686
839	9686
346	6247
20	1326
308	4905
18	16
100	4299
16	2943
2	135
82	1221
77319	1675095
1812	96248
183	14188
20859	188214
347	4857
45	1100
54003	1370323
70	165
461709	5844677
1000	22736
187000	2949572
1250	46725
10000	277863
187000	645268
23000	205599
14750	814042
18093	38926
19616	843946
92460	2135764
1062	69697
632	46421
35941	302652
54791	1716621
34	373
725905	3633735
521000	934091
9000	15287
1000	45777
2000	70843
7812	223151
120000	841305
27000	160425
17093	872806
7000	23988
11000	435247
3000	10815
80610	2192994
941	68704
36296	319674
246	15628
43127	1788988
254584	2426031
22000	84520
110000	176131
1000	46501
12000	166016
54000	437531
1000	40244
13000	93044
10562	527913
10000	42811
21000	811210
22	110
3554	120305
2250	118731
1304	1574
55183	1969169
9600	85900
1086	57206
5	100
44492	1825963
124593	1885366
859	9591
3510	73359
13819	322198
56973	364166
2508	32578
10476	454830
22265	74165
14183	554479
522	86360
522	86360
18747	701044
2456	111364
12700	516421
3461	47068
130	26191
45581	1281387
15875	143703
29706	1137684
178361	2520376
91000	278558
492	23421
2187	116901
32777	354776
5000	125277
16312	726559
11285	66650
19308	828234
54771	1562385
19777	399770
9687	118326
19284	802587
457	24811
2125	130017
2625	81691
816	5183
24734	832823
3640	118092
1937	26598
13733	534570
2250	80503
175	3977
2187	24666
328	5734
484	38683
26697	1116623
7560	300832
16187	695353
117	1975
1914	94380
484	11833
435	12250
23290	837314
1937	100205
17000	650309
3984	81884
359	4465
10	451
0	933455
0	10791
0	74119
0	21479
0	2583
0	130363
0	470568
0	223552
249166	4532107
8796	180281
6000	222064
3512	270404
41427	587751
2000	24538
3000	106150
1000	38171
14000	1038365
503	16764
156749	1093336
1000	13448
10000	931588
46	1547
1132	7700
0	1020279
0	8154
0	19123
0	7338
0	23405
0	53566
0	133252
0	44402
0	463093
0	267946
377436	4736127
15312	353178
1500	55296
8578	544047
32069	303706
3562	39654
2750	167357
10687	781822
16	811
283463	1321667
19499	1168589
0	1090455
0	70850
0	44052
0	42732
0	110134
0	111727
0	7214
0	458266
0	245480
288212	5411556
18359	418274
38	697
6687	286743
10374	591173
24488	269174
569	22839
707	51351
2562	33339
14000	1000391
808	19873
199042	1356874
9925	1359064
653	1764
0	963414
0	44921
0	54288
0	37956
0	71210
0	251171
0	10514
0	431478
0	61876
142085	4952237
13625	263913
296	60452
7750	360113
10765	594293
24327	459719
375	15876
11312	860522
9187	121468
52221	883501
9687	1186748
296	137706
2244	7926
27753	1204835
3354	174576
	2144
850	38197
1032	30142
8637	389774
11922	481952
1958	88050
599454	5224175
21611	468585
38	117
4699	176679
6873	401006
32912	539536
736	20408
10440	550406
17498	281359
22	441
484700	1047594
19554	1732088
371	5957
472286	7872046
1750	79290
187303	2882398
211406	1636651
30859	1472657
40968	1801050
623947	9871488
636	59552
213507	3095981
374500	3727811
18039	1589926
17265	1398218
0	5423225
0	1823608
0	559579
0	54000
0	1811381
0	1174657
0	5641153
0	33918
0	1836056
0	1095141
0	25609
0	1644343
0	1005913
0	173
2446	44517
2306	41822
62	1529
78	1166
396162	6345005
3207	28844
3646	45057
56680	1898493
114230	1106935
185014	2286355
33385	979322
3407	63451
3210	59278
197	4173
2961	53966
2853	51932
34	1020
50	684
24	330
4268	55002
62	1000
2858	48000
1312	6000
36	2
75776	3445891
250	15410
18862	442759
1437	65856
398	35337
2437	192160
457	47766
1937	149679
113	15966
250	13217
398	24320
20	2960
48084	2282322
1125	157841
8	298
86398	3292994
1062	53632
1312	74160
18788	415188
6104	259094
382	13728
3062	87328
621	47600
3125	140882
1312	12800
49552	2027014
1062	160949
16	619
68455	2002774
1500	92366
402	25525
27378	278480
2687	2919
36488	1603484
104675	4679539
2812	147055
10897	258699
7562	192800
66	5281
4375	284842
601	68117
4727	331186
390	29764
72171	3204556
1062	156485
12	754
82776	1325503
11437	42029
53773	545797
17437	736794
129	883
74103	3216741
23000	728444
5100	192797
964	26156
85	7928
347	18899
1187	110214
1500	162690
226	9246
40702	1803600
972	156253
20	514
109673	1944335
238	15957
68366	671702
13312	7918
27749	1248459
8	299
73629	3232914
410	34189
19185	631671
6596	155564
1225	51528
712	61415
1752	210102
1623	72117
39426	1758342
2700	257986
76007	2479592
1396	124838
2692	124592
316	28866
23038	265753
910	5681
47655	1929861
218556	2161589
558	7183
30109	271241
146648	138134
41241	1745031
198302	10543446
597	19274
28424	1375264
15937	1126948
35733	359608
812	42723
68093	4710415
316	11893
4234	180615
44156	2716706
437111	10735323
1000	65277
4074	103005
34319	1329374
23737	1501571
1750	9785
210565	273863
94554	3850608
6562	283641
60550	3318199
209128	9455232
1375	84606
5187	216915
63065	1194935
49601	3111590
5624	199788
39351	1818432
21750	1031914
23175	1797052
0	7922034
0	17291
0	84212
0	1549081
0	1390886
0	141162
0	1370453
0	994988
0	2373961
	3817208
310	13926
	1362101
	213286
3683	165620
10503	17393
	637414
	461857
21031	945612
0	601263
0	233977
0	20689
0	175440
0	7004
0	152050
0	9112
0	2948
0	43
0	723231
0	293170
0	8946
0	144223
0	81335
0	58287
0	137270
0	1008380
0	14783
0	350979
0	229242
0	6217
0	407159
0	628008
0	307135
0	7601
0	313272
11958	145692
540	5545
550	6917
8724	110490
2144	22740
54453	625255
521	25935
8518	104501
400	6111
13629	133229
31385	355479
7277	42142
3000	4051
4277	38091
6870	105195
1957	31067
1752	20123
2540	43140
621	10865
6175	99753
621	9396
254	11303
3954	65490
628	6809
718	6755
60	151
60	151
2411	415502
33	64720
78	31402
2101	296991
199	22389
10	46
10	46
3608	406499
608	22345
3000	384154
3	6
3	6
5580	640134
30	68333
3000	87089
2550	484712
4062	3233
4062	3233
2775	602485
50	66668
656	11078
2069	524739
5488	14678
5488	14678
2805	175614
2805	175614
2946	512598
957	24331
1989	488267
10167	211728
5652	136381
539	7918
1062	12511
179	13963
2735	40955
12816	331092
3880	137773
5176	77267
802	38287
356	912
2602	76853
4596	73444
1937	31437
2625	41851
34	156
0	248504
0	36041
0	199724
0	12035
0	704
0	205831
0	155496
0	50335
12719632	23997218
32101	19937
1693963	5102221
910	74276
190	10554
1125	34597
693537	1083460
796	15246
796	88545
2102892	1907931
3078690	3836976
4091101	6308045
1021474	5466566
2057	48864
11487928	23273600
2045270	5402369
1375	165709
97	3602
1875	62269
657398	951369
898	90574
1675487	1250539
2531482	3042124
3623123	5992475
921775	6151322
2167	20069
26981	141178
10982604	20267380
2182584	5637076
3000	352020
97	6282
374932	458829
9875	19018
968	76585
1035199	611830
3403686	2970858
2101549	3120464
1867713	6885704
1314	27167
1687	101547
12779680	19673860
15125	25644
2580897	4860319
97	3408
97	2921
953147	1386272
398	57944
497397	424922
3221509	2764920
4273125	2752422
1229186	7329193
1327	41712
7375	24183
12747970	19401622
3556800	4301534
2567	2948
16300	72308
1402000	3342580
2900	52370
700	38611
276900	202181
9400	28221
3795600	3318009
400	1123
1965300	1550192
1712200	5951272
2500	702
4403	539570
16577	595538
929	11713
2991	156460
597	30196
78	3760
11972	393087
10	322
1337	50571
588	31524
27	548
722	18499
13437	515362
3025	134139
1437	63019
8955	317828
20	376
6224	237205
70	1578
5218	234722
936	905
1403	260050
924	231707
109	515
370	27828
13277	580224
4003	192043
1625	69444
30	857
7609	317404
10	476
8400	274212
472	1905
7390	270918
500	642
38	747
10312	7208
10312	7208
2446	54647
125	7095
1397	20819
561	12920
125	4937
238	8876
10869	454290
3527	148840
389	14741
468	15455
6455	274362
30	892
11438	295083
10228	290504
1062	4231
148	348
0	2821
0	1451
0	875
0	495
0	14716
0	800
0	8678
0	4998
0	240
9343	409063
4053	145181
190	3407
5100	260475
8659	197244
25	914
7979	178513
505	14906
150	2910
50502	60598
48711	48176
1791	12421
5925	266658
5068	252173
97	1436
760	13049
165449	119483
105000	100095
60449	19388
31718	13801
31718	13801
648	9648
430	6427
148	1691
70	1529
31099372	53571248
669607	616706
6779	163480
37495	1049335
391409	1432119
3414624	1358353
2757773	5263288
52398	73100
217486	501738
23513698	41978068
7125	21265
30483	1069935
495	43859
326882	6031867
1812	30323
113	8634
123631	2700429
3000	173342
116522	682430
32207	669013
48838	1687207
757	80464
2	25
35089376	52177800
1544000	656759
50000	174288
5437	73293
207000	922234
5147449	2756313
3387000	4743329
377000	758333
33000	295484
24220000	40180684
3000	10388
3000	20199
106937	1499351
5554	87144
309345	4306690
304	22475
4625	34686
519	17957
2187	129582
25233	689911
1750	112061
78	4028
44	4040
194803	1410094
51835	519963
25697	1223492
74	3059
2196	135342
35611200	61021000
1934328	1443000
81000	317000
2187	38000
154187	835000
4196000	2069000
3168000	4146000
1000	31000
147000	454000
25792000	47471000
2000	16000
127187	3881000
6312	320000
336807	4431663
26679	130372
5398	306088
33158	628424
1187	121815
144	6665
40	4268
218148	968129
23488	638731
26980	1499918
1585	127253
29090800	40251400
1969998	1279220
64699	72398
2812	82196
173000	734328
6157514	1181238
3396186	2410924
199	1088
4687	76752
17277012	32054048
44597	2353224
97	5987
496566	4644749
5312	90139
3687	221517
17452	410117
964	98475
125	12332
1750	31446
346861	1649476
76644	237872
750	7994
296	27877
40550	1705822
1625	93386
550	58296
22472400	32683000
1634600	299000
72800	85000
1500	14000
169800	634000
3133700	1052000
4259400	2210000
13161500	26890000
100	1000
38900	1471000
100	27000
677271	3264031
7300	16148
23216	49836
15	142
12892	246155
111	62073
7306	15888
1533	19320
573592	468488
8974	117911
217	11991
41307	2175254
808	80824
28238	750053
9148	185238
628	78681
1125	54928
10186	212302
4250	108107
1500	24755
1401	86042
38618	695735
15604	293906
9500	83091
10875	249757
1250	24154
195	2759
995	21095
199	20973
125030	1729203
1500	37710
56534	1059893
1187	10543
50	8452
62	3670
63810	540505
1250	17151
637	51279
62597	1089719
6687	139919
9062	61106
273	9427
41498	778993
4082	53147
487	44971
500	1886
8	270
50928	838088
15187	221768
1020	94673
33201	488738
1030	6548
490	26362
106053	1474180
